clave,squad_id,team_slug,seccion_album,equipo,dorsal,posicion,posicion_slug,rol,rol_slug,nombre,apodo,nombre_pila,apellidos,fecha_nacimiento,lugar_nacimiento,pais,altura_cm,peso_kg,internacional,activo,cedido,cedido_fuera,foto_url,foto_grande_url,foto_cuadrada_url,person_id,opta_id,temporada
elche-c-f-84451,84451,elche-c-f,ELCHE CF,Elche CF,20,Centrocampista,centrocampista,Jugador,jugador,José Antonio Morente Oliva,T. Morente,José Antonio,Morente Oliva,1996-12-04,La Línea de la Concepción,ES,180,76,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p429644/512x556/p429644_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p429644/1024x1113/p429644_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p429644/512x512/p429644_t954_2026_0_002_000.jpg,6263,p429644,2026
elche-c-f-86702,86702,elche-c-f,ELCHE CF,Elche CF,30,Centrocampista,centrocampista,Jugador,jugador,Álvaro Padilla,Padilla,Álvaro,Padilla,2006-04-25,,ES,,,false,true,false,false,https://assets.laliga.com/squad/2026/t954/default/512x556/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/1024x1113/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/512x512/default_t954_2026_0_002_000.jpg,47232,p748535,2026
elche-c-f-86397,86397,elche-c-f,ELCHE CF,Elche CF,47,Centrocampista,centrocampista,Jugador,jugador,Javier Morcillo,Morcillo,Javier,Morcillo,2006-03-15,,ES,183,,false,true,false,false,https://assets.laliga.com/squad/2026/t954/default/512x556/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/1024x1113/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/512x512/default_t954_2026_0_002_000.jpg,45794,p714598,2026
elche-c-f-87079,87079,elche-c-f,ELCHE CF,Elche CF,,Centrocampista,centrocampista,Jugador,jugador,Rubén Sánchez,Rubén S.,Rubén,Sánchez,2001-02-04,Barcelona,ES,185,73,false,true,false,false,https://assets.laliga.com/squad/2026/t954/default/512x556/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/1024x1113/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/512x512/default_t954_2026_0_002_000.jpg,19186,p539600,2026
elche-c-f-87150,87150,elche-c-f,ELCHE CF,Elche CF,,Centrocampista,centrocampista,Jugador,jugador,Thomas Lemar,Lemar,Thomas,Lemar,1995-11-12,Baie-Mahault,FR,171,63,true,true,true,false,https://assets.laliga.com/squad/2026/t954/default/512x556/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/1024x1113/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/512x512/default_t954_2026_0_002_000.jpg,2273,p167449,2026
elche-c-f-86643,86643,elche-c-f,ELCHE CF,Elche CF,9,Delantero,delantero,Jugador,jugador,Ezequiel Ponce,E. Ponce,Ezequiel,Ponce,1997-03-29,Rosario,AR,180,79,false,true,false,false,https://assets.laliga.com/squad/2026/t954/default/512x556/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/1024x1113/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/512x512/default_t954_2026_0_002_000.jpg,4626,p172845,2026
elche-c-f-86170,86170,elche-c-f,ELCHE CF,Elche CF,14,Delantero,delantero,Jugador,jugador,Fer Niño,F. Niño,Fer,Niño,2000-10-24,Rota,ES,191,78,false,true,false,false,https://assets.laliga.com/squad/2026/t954/default/512x556/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/1024x1113/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/512x512/default_t954_2026_0_002_000.jpg,14508,p502290,2026
elche-c-f-84454,84454,elche-c-f,ELCHE CF,Elche CF,21,Delantero,delantero,Jugador,jugador,Lucas Cepeda,Cepeda,Lucas,Cepeda,2002-10-31,Viña del Mar,CL,177,66,false,true,false,false,https://assets.laliga.com/squad/2026/t954/p541759/512x556/p541759_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p541759/1024x1113/p541759_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/p541759/512x512/p541759_t954_2026_0_002_000.jpg,26894,p541759,2026
elche-c-f-84447,84447,elche-c-f,ELCHE CF,Elche CF,24,Delantero,delantero,Jugador,jugador,Abiel Osorio,Osorio,Abiel,Osorio,2002-06-13,San Nicolás de los Arroyos,AR,182,82,false,true,false,false,https://assets.laliga.com/squad/2026/t954/default/512x556/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/1024x1113/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/512x512/default_t954_2026_0_002_000.jpg,45136,p572662,2026
elche-c-f-84458,84458,elche-c-f,ELCHE CF,Elche CF,29,Delantero,delantero,Jugador,jugador,Ali Houary,Ali Houary,Ali,Houary,2005-08-05,Orihuela,MA,178,74,false,true,false,false,https://assets.laliga.com/squad/2026/t954/default/512x556/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/1024x1113/default_t954_2026_0_001_000.png,https://assets.laliga.com/squad/2026/t954/default/512x512/default_t954_2026_0_002_000.jpg,34766,p631382,2026
